FILENAME	CHUNK_COUNTER	CHUNK	ALIGNNMENT_ID
afr-x-bible-1953.txt	11	is	1
afr-x-bible-1983.txt	12	is	1
afr-x-bible-boodskap.txt	22	is	1
afr-x-bible-lewende.txt	13	is	1
afr-x-bible-viralmal.txt	14	is	1
dan-x-bible-1931.txt	10	er	1
dan-x-bible-frederik.txt	10	er	1
deu-x-bible-albrecht.txt	13	ist	1
deu-x-bible-albrecht.txt	15	ist	1
deu-x-bible-elberfelder1871.txt	9	ist	1
deu-x-bible-elberfelder1871.txt	12	ist	1
deu-x-bible-elberfelder1905.txt	9	ist	1
deu-x-bible-elberfelder1905.txt	12	ist	1
deu-x-bible-erben.txt	11	ist	1
deu-x-bible-freebible.txt	9	ist	1
deu-x-bible-freebible.txt	12	ist	1
deu-x-bible-genfer2011.txt	14	ist	1
deu-x-bible-greber.txt	14	ist	1
deu-x-bible-greber.txt	16	ist	1
deu-x-bible-gruenewalder.txt	12	ist	1
deu-x-bible-hoffnung.txt	16	ist	1
deu-x-bible-interlinear.txt	15	ist	1
deu-x-bible-konkordant.txt	18	ist	1
deu-x-bible-luther1545.txt	10	ist	1
deu-x-bible-luther1545.txt	13	ist	1
deu-x-bible-luther1545letztehand.txt	15	ist	1
deu-x-bible-luther1912.txt	12	ist	1
deu-x-bible-meister.txt	12	ist	1
deu-x-bible-menge.txt	19	ist	1
deu-x-bible-neue.txt	11	ist	1
deu-x-bible-pattloch.txt	10	ist	1
deu-x-bible-schlachter.txt	11	ist	1
deu-x-bible-schlachter2000.txt	11	ist	1
deu-x-bible-tafelbibel.txt	11	ist	1
deu-x-bible-tafelbibel.txt	13	ist	1
deu-x-bible-textbibel.txt	11	ist	1
deu-x-bible-volxbibel.txt	12	ist	1
deu-x-bible-volxbibel.txt	14	steht	1
deu-x-bible-zuercher.txt	11	ist	1
eng-x-bible-amplified.txt	22	is	1
eng-x-bible-books.txt	12	is	1
eng-x-bible-clontz.txt	10	is	1
eng-x-bible-common.txt	12	is	1
eng-x-bible-darby.txt	12	is	1
eng-x-bible-diaglot.txt	10	is	1
eng-x-bible-etheridge.txt	13	is	1
eng-x-bible-godsword.txt	9	is	1
eng-x-bible-goodnews.txt	14	is	1
eng-x-bible-internationalstandard.txt	9	is	1
eng-x-bible-kingjames.txt	13	is	1
eng-x-bible-lexham.txt	11	is	1
eng-x-bible-literal.txt	13	is	1
eng-x-bible-livingoracles.txt	12	is	1
eng-x-bible-majority.txt	11	is	1
eng-x-bible-new2007.txt	10	is	1
eng-x-bible-newcentury.txt	14	is	1
eng-x-bible-newinternational.txt	12	is	1
eng-x-bible-newliving.txt	13	is	1
eng-x-bible-newreaders.txt	14	is	1
eng-x-bible-newsimplified.txt	12	is	1
eng-x-bible-scriptures.txt	12	is	1
eng-x-bible-treeoflife.txt	11	is	1
eng-x-bible-worldwide.txt	16	is	1
isl-x-bible-isl.txt	11	er	1
nds-x-bible-nds.txt	10	es	1
nds-x-bible-nds.txt	13	es	1
nld-x-bible-1951.txt	11	is	1
nld-x-bible-2004.txt	10	is	1
nld-x-bible-2007.txt	15	is	1
nld-x-bible-statenvertaling.txt	12	is	1
nno-x-bible-2011.txt	10	er	1
nob-x-bible-1985.txt	10	er	1
nob-x-bible-1988.txt	12	er	1
nob-x-bible-2007.txt	9	er	1
nob-x-bible-2011.txt	15	er	1
nor-x-bible-1930.txt	9	er	1
nor-x-bible-student.txt	10	er	1
swe-x-bible-b2000.txt	11	är	1
swe-x-bible-folk1998.txt	9	är	1
swe-x-bible-nyalevande.txt	12	är	1
swg-x-bible-swg.txt	11	isch	1
swg-x-bible-swg.txt	14	isch	1
afr-x-bible-1953.txt	24	gaan	2
afr-x-bible-1983.txt	23	gaan	2
afr-x-bible-boodskap.txt	39	pad	2
afr-x-bible-boodskap.txt	48	gaan	2
afr-x-bible-lewende.txt	28	pad	2
afr-x-bible-lewende.txt	32	toe	2
dan-x-bible-1931.txt	22	farer	2
dan-x-bible-1931.txt	23	bort	2
dan-x-bible-frederik.txt	21	farer	2
dan-x-bible-frederik.txt	22	bort	2
dan-x-bible-hverdagsdansk.txt	31	gå	2
deu-x-bible-albrecht.txt	32	geht	2
deu-x-bible-elberfelder1871.txt	22	geht	2
deu-x-bible-elberfelder1905.txt	22	geht	2
deu-x-bible-erben.txt	25	geht	2
deu-x-bible-erben.txt	29	hin	2
deu-x-bible-freebible.txt	22	geht	2
deu-x-bible-genfer2011.txt	28	geht	2
deu-x-bible-greber.txt	30	wieder	2
deu-x-bible-gruenewalder.txt	22	geht	2
deu-x-bible-hoffnung.txt	31	Weg	2
deu-x-bible-interlinear.txt	27	geht	2
deu-x-bible-interlinear.txt	29	hin	2
deu-x-bible-konkordant.txt	34	geht	2
deu-x-bible-luther1545.txt	22	fährt	2
deu-x-bible-luther1545letztehand.txt	29	feret	2
deu-x-bible-luther1912.txt	21	fährt	2
deu-x-bible-meister.txt	26	geht	2
deu-x-bible-meister.txt	27	hin	2
deu-x-bible-menge.txt	35	fährt	2
deu-x-bible-menge.txt	36	dahin	2
deu-x-bible-neue.txt	26	läuft	2
deu-x-bible-pattloch.txt	21	geht	2
deu-x-bible-schlachter.txt	23	läuft	2
deu-x-bible-schlachter2000.txt	27	läuft	2
deu-x-bible-tafelbibel.txt	25	geht	2
deu-x-bible-tafelbibel.txt	26	hin	2
deu-x-bible-textbibel.txt	24	geht	2
deu-x-bible-textbibel.txt	25	dahin	2
deu-x-bible-zuercher.txt	29	geht	2
deu-x-bible-zuercher.txt	30	hin	2
eng-x-bible-amplified.txt	45	goes	2
eng-x-bible-books.txt	24	going	2
eng-x-bible-clontz.txt	21	goes	2
eng-x-bible-common.txt	26	going	2
eng-x-bible-darby.txt	23	goes	2
eng-x-bible-diaglot.txt	27	goes	2
eng-x-bible-easytoread.txt	31	go	2
eng-x-bible-easytoread.txt	32	away	2
eng-x-bible-godsword.txt	21	goes	2
eng-x-bible-goodnews.txt	27	going	2
eng-x-bible-goodnews.txt	28	off	2
eng-x-bible-internationalstandard.txt	22	goes	2
eng-x-bible-kingjames.txt	24	goeth	2
eng-x-bible-lexham.txt	26	going	2
eng-x-bible-literal.txt	24	goes	2
eng-x-bible-livingoracles.txt	23	goes	2
eng-x-bible-majority.txt	24	going	2
eng-x-bible-montgomery.txt	30	way	2
eng-x-bible-new2007.txt	25	going	2
eng-x-bible-newcentury.txt	31	go	2
eng-x-bible-newcentury.txt	32	away	2
eng-x-bible-newinternational.txt	24	going	2
eng-x-bible-newsimplified.txt	24	goes	2
eng-x-bible-scriptures.txt	25	goes	2
isl-x-bible-isl.txt	23	fer	2
nds-x-bible-nds.txt	23	jeit	2
nld-x-bible-1951.txt	25	vaart	2
nld-x-bible-2007.txt	39	gaan	2
nld-x-bible-statenvertaling.txt	24	gaat	2
nno-x-bible-2011.txt	23	går	2
nob-x-bible-1985.txt	23	går	2
nob-x-bible-2007.txt	22	farer	2
nob-x-bible-2007.txt	23	bort	2
nob-x-bible-2011.txt	24	går	2
nor-x-bible-1930.txt	23	farer	2
nor-x-bible-1930.txt	24	bort	2
nor-x-bible-student.txt	22	fer	2
nor-x-bible-student.txt	23	burt	2
swe-x-bible-b2000.txt	23	går	2
swe-x-bible-folk1998.txt	21	går	2
afr-x-bible-1953.txt	7	nie	3
afr-x-bible-1953.txt	9	nie	3
afr-x-bible-1983.txt	7	nie	3
afr-x-bible-1983.txt	10	nie	3
afr-x-bible-lewende.txt	8	nie	3
afr-x-bible-lewende.txt	11	nie	3
afr-x-bible-viralmal.txt	9	nie	3
afr-x-bible-viralmal.txt	12	nie	3
dan-x-bible-1931.txt	8	ikke	3
dan-x-bible-frederik.txt	8	ikke	3
dan-x-bible-hverdagsdansk.txt	9	ikke	3
deu-x-bible-albrecht.txt	11	nicht	3
deu-x-bible-elberfelder1871.txt	8	nicht	3
deu-x-bible-elberfelder1905.txt	8	nicht	3
deu-x-bible-erben.txt	8	nicht	3
deu-x-bible-freebible.txt	8	nicht	3
deu-x-bible-genfer2011.txt	11	nicht	3
deu-x-bible-gruenewalder.txt	7	nicht	3
deu-x-bible-hoffnung.txt	10	nicht	3
deu-x-bible-interlinear.txt	8	nicht	3
deu-x-bible-konkordant.txt	14	nicht	3
deu-x-bible-luther1545.txt	9	nicht	3
deu-x-bible-luther1545letztehand.txt	14	nicht	3
deu-x-bible-luther1912.txt	9	nicht	3
deu-x-bible-meister.txt	8	nicht	3
deu-x-bible-menge.txt	16	nicht	3
deu-x-bible-pattloch.txt	7	nicht	3
deu-x-bible-schlachter.txt	8	nicht	3
deu-x-bible-schlachter2000.txt	8	nicht	3
deu-x-bible-tafelbibel.txt	10	nicht	3
deu-x-bible-textbibel.txt	8	nicht	3
deu-x-bible-zuercher.txt	8	nicht	3
eng-x-bible-amplified.txt	15	no	3
eng-x-bible-books.txt	10	not	3
eng-x-bible-clontz.txt	8	not	3
eng-x-bible-common.txt	9	not	3
eng-x-bible-darby.txt	8	not	3
eng-x-bible-diaglot.txt	9	not	3
eng-x-bible-easytoread.txt	9	no	3
eng-x-bible-etheridge.txt	10	not	3
eng-x-bible-godsword.txt	7	no	3
eng-x-bible-goodnews.txt	11	no	3
eng-x-bible-internationalstandard.txt	7	no	3
eng-x-bible-internationalstandard.txt	8	longer	3
eng-x-bible-kingjames.txt	9	not	3
eng-x-bible-lexham.txt	9	not	3
eng-x-bible-literal.txt	9	not	3
eng-x-bible-livingoracles.txt	9	not	3
eng-x-bible-majority.txt	9	not	3
eng-x-bible-montgomery.txt	9	not	3
eng-x-bible-new2007.txt	8	not	3
eng-x-bible-newcentury.txt	10	not	3
eng-x-bible-newinternational.txt	10	not	3
eng-x-bible-newliving.txt	10	no	3
eng-x-bible-newliving.txt	11	longer	3
eng-x-bible-newreaders.txt	12	not	3
eng-x-bible-newsimplified.txt	9	not	3
eng-x-bible-scriptures.txt	10	not	3
eng-x-bible-treeoflife.txt	7	not	3
eng-x-bible-worldwide.txt	8	one	3
isl-x-bible-isl.txt	9	ekki	3
nds-x-bible-nds.txt	9	nijch	3
nld-x-bible-1951.txt	8	niet	3
nld-x-bible-2004.txt	7	niet	3
nld-x-bible-2007.txt	11	niet	3
