FILENAME	CHUNK_COUNTER	CHUNK	ALIGNNMENT_ID
afr-x-bible-1953.txt	27	sal	1
afr-x-bible-1953.txt	35	sal	1
dan-x-bible-1931.txt	24	skal	1
deu-x-bible-elberfelder1871.txt	23	wird	1
deu-x-bible-elberfelder1871.txt	30	werden	1
deu-x-bible-elberfelder1905.txt	23	wird	1
deu-x-bible-elberfelder1905.txt	30	werden	1
deu-x-bible-freebible.txt	23	wird	1
deu-x-bible-freebible.txt	30	werden	1
deu-x-bible-gruenewalder.txt	17	dann	1
deu-x-bible-luther1545.txt	23	werden	1
deu-x-bible-luther1545letztehand.txt	25	werden	1
deu-x-bible-luther1912.txt	23	werden	1
deu-x-bible-menge.txt	24	werden	1
deu-x-bible-neue.txt	24	werden	1
deu-x-bible-neue.txt	30	dann	1
deu-x-bible-pattloch.txt	20	werden	1
deu-x-bible-schlachter.txt	24	werden	1
deu-x-bible-textbibel.txt	21	werden	1
deu-x-bible-zuercher.txt	22	werden	1
eng-x-bible-darby.txt	28	shall	1
eng-x-bible-darby.txt	29	be	1
eng-x-bible-darby.txt	36	shall	1
eng-x-bible-darby.txt	37	be	1
eng-x-bible-kingjames.txt	27	shall	1
eng-x-bible-kingjames.txt	28	be	1
eng-x-bible-kingjames.txt	35	shall	1
eng-x-bible-literal.txt	27	shall	1
eng-x-bible-literal.txt	28	be	1
eng-x-bible-literal.txt	35	shall	1
eng-x-bible-newsimplified.txt	22	will	1
nld-x-bible-statenvertaling.txt	29	zal	1
nld-x-bible-statenvertaling.txt	37	zullen	1
nor-x-bible-1930.txt	21	skal	1
nor-x-bible-student.txt	25	skal	1
swe-x-bible-folk1998.txt	15	kommer	1
swe-x-bible-folk1998.txt	20	skall	1
afr-x-bible-1953.txt	28	hom	2
dan-x-bible-1931.txt	26	sig	2
deu-x-bible-elberfelder1871.txt	24	sich	2
deu-x-bible-elberfelder1905.txt	24	sich	2
deu-x-bible-freebible.txt	24	sich	2
deu-x-bible-gruenewalder.txt	20	sich	2
deu-x-bible-luther1545.txt	24	sich	2
deu-x-bible-luther1545letztehand.txt	26	sich	2
deu-x-bible-luther1912.txt	24	sich	2
