FILENAME	CHUNK_COUNTER	CHUNK	ALIGNNMENT_ID
deu-x-bible-gruenewalder.txt	15	.	1
deu-x-bible-luther1545letztehand.txt	30	.	1
deu-x-bible-menge.txt	19	.	1
deu-x-bible-pattloch.txt	18	!	1
eng-x-bible-kingjames.txt	19	.	1
deu-x-bible-gruenewalder.txt	1	Erschlafftem	2
deu-x-bible-menge.txt	3	erschlafften	2
deu-x-bible-pattloch.txt	3	schlaffen	2
eng-x-bible-kingjames.txt	2	professeth	2
deu-x-bible-luther1545letztehand.txt	13	nicht	3
deu-x-bible-menge.txt	8	kein	3
deu-x-bible-pattloch.txt	8	nicht	3
deu-x-bible-gruenewalder.txt	13	keinen	4
deu-x-bible-menge.txt	16	nicht	4
deu-x-bible-pattloch.txt	15	keinen	4
deu-x-bible-gruenewalder.txt	12	es	5
deu-x-bible-menge.txt	14	es	5
deu-x-bible-pattloch.txt	11	es	5
deu-x-bible-gruenewalder.txt	10	Deshalb	6
deu-x-bible-menge.txt	12	darum	6
deu-x-bible-pattloch.txt	13	daher	6
deu-x-bible-gruenewalder.txt	2	Herzen	7
deu-x-bible-menge.txt	4	Herzen	7
deu-x-bible-pattloch.txt	4	Herzen	7
deu-x-bible-gruenewalder.txt	7	Vertrauen	8
deu-x-bible-menge.txt	9	Vertrauen	8
deu-x-bible-pattloch.txt	9	vertraut	8
deu-x-bible-gruenewalder.txt	11	erlangt	9
deu-x-bible-menge.txt	13	wird	9
deu-x-bible-pattloch.txt	12	wird	9
deu-x-bible-gruenewalder.txt	5	weil	10
deu-x-bible-menge.txt	6	Weil	10
deu-x-bible-pattloch.txt	6	weil	10
deu-x-bible-gruenewalder.txt	14	Schutz	11
deu-x-bible-menge.txt	17	beschirmt	11
deu-x-bible-pattloch.txt	16	Schutz	11
deu-x-bible-gruenewalder.txt	3	wehe	12
deu-x-bible-menge.txt	1	Wehe	12
deu-x-bible-pattloch.txt	1	Weh	12
deu-x-bible-gruenewalder.txt	4	,	13
deu-x-bible-pattloch.txt	5	,	13
deu-x-bible-menge.txt	15	auch	14
deu-x-bible-pattloch.txt	14	auch	14
deu-x-bible-menge.txt	7	es	15
deu-x-bible-pattloch.txt	7	es	15
deu-x-bible-menge.txt	2	dem	16
deu-x-bible-pattloch.txt	2	dem	16
deu-x-bible-luther1545letztehand.txt	11	Er	17
eng-x-bible-kingjames.txt	1	He	17
deu-x-bible-pattloch.txt	10	;	18
eng-x-bible-kingjames.txt	9	:	18
