FILENAME	CHUNK_COUNTER	CHUNK	ALIGNNMENT_ID
deu-x-bible-gruenewalder.txt	1	Ist	1
deu-x-bible-gruenewalder.txt	2	aber	1
deu-x-bible-luther1545letztehand.txt	2	aber	1
deu-x-bible-menge.txt	1	Und	1
deu-x-bible-menge.txt	2	wenn	1
deu-x-bible-pattloch.txt	1	Wenn	1
eng-x-bible-kingjames.txt	1	And	1
deu-x-bible-gruenewalder.txt	15	Künstlerin	2
deu-x-bible-luther1545letztehand.txt	11	Meister	2
deu-x-bible-menge.txt	19	tüchtigeren	2
deu-x-bible-menge.txt	20	Werkmeister	2
deu-x-bible-pattloch.txt	15	Künstler	2
deu-x-bible-gruenewalder.txt	10	aller	3
deu-x-bible-luther1545letztehand.txt	8	allen	3
deu-x-bible-menge.txt	16	ganzen	3
deu-x-bible-pattloch.txt	11	aller	3
deu-x-bible-gruenewalder.txt	17	sie	4
deu-x-bible-luther1545letztehand.txt	14	sie	4
deu-x-bible-menge.txt	22	sie	4
deu-x-bible-pattloch.txt	17	sie	4
deu-x-bible-gruenewalder.txt	16	als	5
deu-x-bible-luther1545letztehand.txt	13	denn	5
deu-x-bible-menge.txt	21	als	5
deu-x-bible-pattloch.txt	16	als	5
deu-x-bible-gruenewalder.txt	8	ist	6
deu-x-bible-luther1545letztehand.txt	6	ist	6
deu-x-bible-menge.txt	11	gibt	6
deu-x-bible-pattloch.txt	9	ist	6
deu-x-bible-gruenewalder.txt	18	?	7
deu-x-bible-luther1545letztehand.txt	15	?	7
deu-x-bible-menge.txt	23	?	7
deu-x-bible-pattloch.txt	18	?	7
deu-x-bible-gruenewalder.txt	13	eine	8
deu-x-bible-luther1545letztehand.txt	9	ein	8
deu-x-bible-pattloch.txt	13	ein	8
deu-x-bible-gruenewalder.txt	7	wer	9
deu-x-bible-luther1545letztehand.txt	5	Wer	9
deu-x-bible-pattloch.txt	8	wer	9
deu-x-bible-gruenewalder.txt	9	in	10
deu-x-bible-menge.txt	14	in	10
deu-x-bible-pattloch.txt	10	in	10
deu-x-bible-gruenewalder.txt	11	Welt	11
deu-x-bible-menge.txt	17	Welt	11
deu-x-bible-pattloch.txt	12	Welt	11
deu-x-bible-gruenewalder.txt	5	Verstand	12
deu-x-bible-menge.txt	5	Klugheit	12
deu-x-bible-gruenewalder.txt	14	größre	13
deu-x-bible-pattloch.txt	14	größerer	13
deu-x-bible-menge.txt	3	schon	14
deu-x-bible-pattloch.txt	2	schon	14
deu-x-bible-menge.txt	9	,	15
deu-x-bible-pattloch.txt	7	,	15
