FILENAME	CHUNK_COUNTER	CHUNK	ALIGNNMENT_ID
afr-x-bible-1953.txt	16	net	1
afr-x-bible-1953.txt	17	soos	1
afr-x-bible-1983.txt	17	soos	1
afr-x-bible-boodskap.txt	18	net	1
afr-x-bible-boodskap.txt	19	so	1
afr-x-bible-lewende.txt	23	net	1
afr-x-bible-lewende.txt	24	soos	1
afr-x-bible-viralmal.txt	51	soos	1
dan-x-bible-1931.txt	15	ligesom	1
dan-x-bible-frederik.txt	17	ligesom	1
dan-x-bible-hverdagsdansk.txt	16	samme	1
deu-x-bible-albrecht.txt	18	wie	1
deu-x-bible-elberfelder1871.txt	19	gleichwie	1
deu-x-bible-elberfelder1905.txt	19	gleichwie	1
deu-x-bible-erben.txt	19	gleichwie	1
deu-x-bible-freebible.txt	19	gleichwie	1
deu-x-bible-genfer2011.txt	12	auch	1
deu-x-bible-gruenewalder.txt	15	auch	1
deu-x-bible-gruenewalder.txt	24	wie	1
deu-x-bible-hoffnung.txt	14	wie	1
deu-x-bible-interlinear.txt	16	wie	1
deu-x-bible-konkordant.txt	19	ebenso	1
deu-x-bible-konkordant.txt	20	wie	1
deu-x-bible-luther1545.txt	18	gleichwie	1
deu-x-bible-luther1545letztehand.txt	18	gleich	1
deu-x-bible-luther1545letztehand.txt	19	wie	1
deu-x-bible-luther1912.txt	18	gleichwie	1
deu-x-bible-meister.txt	16	gleichwie	1
deu-x-bible-menge.txt	18	gleichwie	1
deu-x-bible-neue.txt	17	so	1
deu-x-bible-neue.txt	19	wie	1
deu-x-bible-pattloch.txt	16	wie	1
deu-x-bible-schlachter.txt	18	gleichwie	1
deu-x-bible-schlachter2000.txt	17	gleichwie	1
deu-x-bible-tafelbibel.txt	17	wie	1
deu-x-bible-textbibel.txt	19	wie	1
deu-x-bible-volxbibel.txt	17	genauso	1
deu-x-bible-volxbibel.txt	18	wie	1
deu-x-bible-zuercher.txt	17	wie	1
eng-x-bible-amplified.txt	15	just	1
eng-x-bible-amplified.txt	16	as	1
eng-x-bible-books.txt	15	just	1
eng-x-bible-books.txt	16	as	1
eng-x-bible-clontz.txt	14	just	1
eng-x-bible-clontz.txt	15	as	1
eng-x-bible-common.txt	17	just	1
eng-x-bible-common.txt	18	as	1
eng-x-bible-contemporary.txt	26	as	1
eng-x-bible-darby.txt	17	even	1
eng-x-bible-darby.txt	18	as	1
eng-x-bible-diaglot.txt	16	as	1
eng-x-bible-easytoread.txt	20	just	1
eng-x-bible-easytoread.txt	21	as	1
eng-x-bible-etheridge.txt	13	as	1
eng-x-bible-godsword.txt	18	As	1
eng-x-bible-goodnews.txt	21	just	1
eng-x-bible-goodnews.txt	22	as	1
eng-x-bible-internationalstandard.txt	16	just	1
eng-x-bible-internationalstandard.txt	17	as	1
eng-x-bible-kingjames.txt	13	like	1
eng-x-bible-kingjames.txt	14	as	1
eng-x-bible-kingjames.txt	29	even	1
eng-x-bible-lexham.txt	16	just	1
eng-x-bible-lexham.txt	17	as	1
eng-x-bible-literal.txt	14	as	1
eng-x-bible-livingoracles.txt	19	like	1
eng-x-bible-livingoracles.txt	20	as	1
eng-x-bible-majority.txt	14	just	1
eng-x-bible-majority.txt	15	as	1
eng-x-bible-montgomery.txt	20	just	1
eng-x-bible-montgomery.txt	21	as	1
eng-x-bible-new2007.txt	16	just	1
eng-x-bible-new2007.txt	17	as	1
eng-x-bible-newcentury.txt	18	just	1
eng-x-bible-newcentury.txt	19	as	1
eng-x-bible-newinternational.txt	15	just	1
eng-x-bible-newinternational.txt	16	as	1
eng-x-bible-newliving.txt	13	just	1
eng-x-bible-newliving.txt	14	as	1
eng-x-bible-scriptures.txt	13	as	1
eng-x-bible-treeoflife.txt	16	just	1
eng-x-bible-treeoflife.txt	17	as	1
isl-x-bible-isl.txt	19	eins	1
nds-x-bible-nds.txt	19	soo	1
nds-x-bible-nds.txt	20	aus	1
nld-x-bible-1951.txt	16	gelijk	1
nld-x-bible-2004.txt	14	zoals	1
nld-x-bible-2007.txt	10	zoals	1
nld-x-bible-statenvertaling.txt	17	gelijkerwijs	1
nno-x-bible-2011.txt	17	slik	1
nob-x-bible-1985.txt	26	likesom	1
nob-x-bible-1988.txt	16	samme	1
