FILENAME	CHUNK_COUNTER	CHUNK	ALIGNNMENT_ID
afr-x-bible-1953.txt	15	.	1
dan-x-bible-1931.txt	16	.	1
dan-x-bible-1931.txt	17	"	1
deu-x-bible-elberfelder1871.txt	17	!	1
deu-x-bible-elberfelder1905.txt	17	!	1
deu-x-bible-elberfelder1905.txt	18	.	1
deu-x-bible-elberfelder1905.txt	19	.	1
deu-x-bible-elberfelder1905.txt	20	.	1
deu-x-bible-freebible.txt	17	!	1
deu-x-bible-freebible.txt	18	-	1
deu-x-bible-gruenewalder.txt	16	.	1
deu-x-bible-gruenewalder.txt	17	"	1
deu-x-bible-gruenewalder.txt	18	«	1
deu-x-bible-luther1545.txt	18	.	1
deu-x-bible-luther1545letztehand.txt	18	.	1
deu-x-bible-luther1912.txt	19	!	1
deu-x-bible-menge.txt	19	!	1
deu-x-bible-menge.txt	20	‹	1
deu-x-bible-neue.txt	22	!	1
deu-x-bible-neue.txt	23	"	1
deu-x-bible-pattloch.txt	19	!	1
deu-x-bible-pattloch.txt	20	"	1
deu-x-bible-schlachter.txt	16	!	1
deu-x-bible-tafelbibel.txt	16	.	1
deu-x-bible-textbibel.txt	15	!	1
deu-x-bible-zuercher.txt	12	!	1
eng-x-bible-darby.txt	19	.	1
eng-x-bible-kingjames.txt	13	.	1
eng-x-bible-literal.txt	13	.	1
eng-x-bible-newsimplified.txt	15	.	1
eng-x-bible-newsimplified.txt	16	’	1
nld-x-bible-statenvertaling.txt	17	.	1
nor-x-bible-1930.txt	14	.	1
nor-x-bible-student.txt	16	!	1
nor-x-bible-student.txt	17	»	1
swe-x-bible-folk1998.txt	17	.	1
swe-x-bible-folk1998.txt	18	"	1
afr-x-bible-1953.txt	9	ons	2
dan-x-bible-1931.txt	10	Vi	2
deu-x-bible-elberfelder1871.txt	10	wir	2
deu-x-bible-elberfelder1871.txt	14	wir	2
deu-x-bible-elberfelder1905.txt	10	wir	2
deu-x-bible-elberfelder1905.txt	14	wir	2
deu-x-bible-freebible.txt	10	wir	2
deu-x-bible-freebible.txt	14	wir	2
deu-x-bible-gruenewalder.txt	10	Wir	2
deu-x-bible-luther1545.txt	13	wir	2
deu-x-bible-luther1545letztehand.txt	13	wir	2
deu-x-bible-luther1912.txt	13	wir	2
deu-x-bible-menge.txt	12	wir	2
deu-x-bible-menge.txt	17	wir	2
deu-x-bible-neue.txt	12	Wir	2
deu-x-bible-neue.txt	17	Wir	2
deu-x-bible-pattloch.txt	13	Wir	2
deu-x-bible-schlachter.txt	12	wir	2
deu-x-bible-tafelbibel.txt	10	Wir	2
deu-x-bible-textbibel.txt	10	Wir	2
deu-x-bible-zuercher.txt	9	wir	2
eng-x-bible-darby.txt	10	we	2
eng-x-bible-darby.txt	15	we	2
eng-x-bible-kingjames.txt	10	we	2
eng-x-bible-literal.txt	10	we	2
eng-x-bible-newsimplified.txt	9	We	2
eng-x-bible-newsimplified.txt	13	our	2
nld-x-bible-statenvertaling.txt	11	wij	2
nor-x-bible-1930.txt	10	Vi	2
nor-x-bible-student.txt	10	Me	2
swe-x-bible-folk1998.txt	10	Vi	2
swe-x-bible-folk1998.txt	14	vi	2
afr-x-bible-1953.txt	5	:	3
dan-x-bible-1931.txt	5	:	3
dan-x-bible-1931.txt	6	"	3
deu-x-bible-elberfelder1871.txt	6	:	3
deu-x-bible-elberfelder1905.txt	6	:	3
deu-x-bible-freebible.txt	6	:	3
deu-x-bible-gruenewalder.txt	8	:	3
deu-x-bible-luther1545.txt	7	:	3
deu-x-bible-luther1912.txt	7	:	3
deu-x-bible-menge.txt	6	zurufen	3
deu-x-bible-menge.txt	7	:	3
deu-x-bible-menge.txt	8	›	3
deu-x-bible-neue.txt	7	:	3
deu-x-bible-neue.txt	8	"	3
deu-x-bible-pattloch.txt	5	"	3
deu-x-bible-schlachter.txt	6	:	3
deu-x-bible-tafelbibel.txt	6	:	3
deu-x-bible-textbibel.txt	6	:	3
